,Date,Price,Open,High,Low,Volume,Chg%
198,2019-06-09,13.895,14.8575,15.4525,12.6425,0,-6.48%
197,2019-06-16,14.61,13.895,15.3,10.6025,0,5.15%
196,2019-06-23,14.9525,14.61,15.665,11.855,0,2.34%
195,2019-06-30,13.065,14.9525,15.02,12.665,0,-12.62%
194,2019-07-07,11.9975,13.065,14.22,11.55,0,-8.17%
193,2019-07-14,12.515,11.9975,12.675,9.1625,0,4.31%
192,2019-07-21,12.1325,12.515,14.4825,11.5625,0,-3.06%
191,2019-07-28,15.1875,12.1325,16.1575,12.0375,0,25.18%
190,2019-08-04,15.845,15.1875,17.82,15.0275,0,4.33%
189,2019-08-11,16.6475,15.845,18.005,15.1175,0,5.06%
188,2019-08-18,17.3475,16.6475,18.2625,13.7025,0,4.20%
187,2019-08-25,16.2825,17.3475,19.145,13.7,0,-6.14%
186,2019-09-01,16.275,16.2825,18.31,15.885,0,-0.05%
185,2019-09-08,14.12,16.275,16.6425,13.665,0,-13.24%
184,2019-09-15,15.4,14.12,17.045,13.2775,0,9.07%
183,2019-09-22,16.115,15.4,18.5325,13.64,0,4.64%
182,2019-09-29,17.58,16.115,18.2175,14.9475,0,9.09%
181,2019-10-06,17.14,17.58,18.4275,15.7275,0,-2.50%
180,2019-10-13,15.9275,17.14,17.9625,14.99,0,-7.07%
179,2019-10-20,15.315,15.9275,17.1225,13.5725,0,-3.85%
178,2019-10-27,15.7325,16.24,16.845,13.9825,0,2.73%
177,2019-11-03,15.855,15.7325,16.365,13.3825,0,0.78%
176,2019-11-10,15.03,15.855,16.765,12.5225,0,-5.20%
175,2019-11-17,14.8725,15.03,16.065,11.6075,0,-1.05%
174,2019-11-24,13.8975,14.8725,15.2125,12.3575,0,-6.56%
173,2019-12-01,13.64,13.8975,16.3425,11.4075,0,-1.85%
172,2019-12-08,13.3,13.64,15.6625,11.71,0,-2.49%
171,2019-12-15,12.325,13.3,14.11,11.325,0,-7.33%
170,2019-12-22,10.525,12.325,14.505,10.425,0,-14.60%
169,2019-12-29,12.695,10.525,12.94,9.6175,0,20.62%
168,2020-01-05,14.0775,12.695,16.3875,12.695,0,10.89%
167,2020-01-12,14.1275,14.0775,14.53,12.5025,0,0.36%
166,2020-01-19,15.56,14.1275,16.7075,12.465,0,10.14%
165,2020-01-26,17.3675,15.56,17.615,14.6825,0,11.62%
164,2020-02-02,13.7475,17.3675,17.93,12.645,0,-20.84%
163,2020-02-09,13.615,13.7475,14.6,11.375,0,-0.96%
162,2020-02-16,13.7,13.615,14.82,10.165,0,0.62%
161,2020-02-23,23.235,13.7,23.6975,12.295,0,69.60%
160,2020-03-01,25.6425,23.235,27.55,19.92,0,10.36%
159,2020-03-08,51.4725,25.6425,59.4825,21.425,0,100.73%
158,2020-03-15,67.1,51.4725,73.3425,51.4725,0,30.36%
157,2020-03-22,70.385,67.1,86.635,65.6325,0,4.90%
156,2020-03-29,55.3025,70.385,73.365,54.9,0,-21.43%
155,2020-04-05,49.745,55.3025,55.3025,46.9025,0,-10.05%
154,2020-04-12,42.5925,49.745,52.4925,40.305,0,-14.38%
153,2020-04-19,39.1175,42.5925,45.9625,34.9825,0,-8.16%
152,2020-04-26,33.9875,39.1175,41.9125,31.4825,0,-13.11%
151,2020-05-03,38.4075,33.9875,43.92,33.9875,0,13.00%
150,2020-05-10,38.0175,38.4075,39.0475,33.44,0,-1.02%
149,2020-05-17,32.3775,38.0175,41.245,26.335,0,-14.84%
148,2020-05-24,30.22,32.3775,33.21,27.41,0,-6.66%
147,2020-05-31,28.68,30.22,32.1725,25.92,0,-5.10%
146,2020-06-07,30.8225,28.68,32.875,27.24,0,7.47%
145,2020-06-14,29.965,30.8225,35.3125,29.05,0,-2.78%
144,2020-06-21,28.735,29.965,31.285,27.79,0,-4.10%
143,2020-06-28,25.7675,28.735,30.45,25.6275,0,-10.33%
142,2020-07-05,24.9425,25.7675,27.6575,23.485,0,-3.20%
141,2020-07-12,24.1575,24.9425,27.265,22.805,0,-3.15%
140,2020-07-19,24.535,24.1575,25.8025,22.7375,0,1.56%
139,2020-07-26,24.1925,24.535,25.7175,22.09,0,-1.40%
138,2020-08-02,22.5775,24.1925,25.69,21.755,0,-6.68%
137,2020-08-09,21.6725,22.5775,23.015,16.34,0,-4.01%
136,2020-08-16,19.9375,21.6725,22.8775,14.885,0,-8.01%
135,2020-08-23,18.3475,19.9375,20.0675,15.4225,0,-7.97%
134,2020-08-30,22.1525,18.3475,23.8725,16.4,0,20.74%
133,2020-09-06,20.7125,22.1525,23.27,17.245,0,-6.50%
132,2020-09-13,20.045,20.7125,21.74,16.325,0,-3.22%
131,2020-09-20,20.675,20.045,23.8175,15.755,0,3.14%
130,2020-09-27,18.35,20.675,21.0975,17.375,0,-11.25%
129,2020-10-04,20.38,18.35,21.0075,17.51,0,11.06%
128,2020-10-11,21.645,20.38,22.4175,18.425,0,6.21%
127,2020-10-18,21.8275,21.645,23.545,15.465,0,0.84%
126,2020-10-25,24.7525,21.8275,26.3,20.08,0,13.40%
125,2020-11-01,20.4975,24.7525,25.9175,19.2825,0,-17.19%
124,2020-11-08,19.7025,20.4975,29.525,17.58,0,-3.88%
123,2020-11-15,19.6175,19.7025,20.405,15.72,0,-0.43%
122,2020-11-22,19.8175,19.6175,23.495,16.91,0,1.02%
121,2020-11-29,18.0275,19.8175,21.235,16.53,0,-9.03%
120,2020-12-06,18.79,18.0275,19.63,16.22,0,4.23%
119,2020-12-13,18.6225,18.79,21.6225,14.0525,0,-0.89%
118,2020-12-20,19.9675,18.6225,24.48,15.645,0,7.22%
117,2020-12-27,19.56,19.9675,21.5875,17.6275,0,-2.04%
116,2021-01-03,20.64,19.56,21.63,17.38,0,5.52%
115,2021-01-10,24.01,20.64,24.6775,20.64,0,16.33%
114,2021-01-17,22.4225,24.01,25.4125,18.6175,0,-6.61%
113,2021-01-24,25.3425,22.4225,25.99,20.3375,0,13.02%
112,2021-01-31,23.415,25.3425,25.925,20.08,0,-7.61%
111,2021-02-07,22.0425,23.415,24.955,20.8925,0,-5.86%
110,2021-02-14,22.25,22.0425,22.8675,19.345,0,0.94%
109,2021-02-21,28.1425,22.25,29.645,20.0225,0,26.48%
108,2021-02-28,25.56,28.1425,28.1425,21.815,0,-9.18%
107,2021-03-07,21.7075,25.56,25.6525,18.5375,0,-15.07%
106,2021-03-14,19.9875,21.7075,22.9325,16.6825,0,-7.92%
105,2021-03-21,20.65,19.9875,23.3125,18.225,0,3.31%
104,2021-03-28,19.9875,20.65,20.83,19.5675,0,-3.21%
103,2021-04-04,19.785,19.9875,23.305,19.17,0,-1.01%
102,2021-04-11,20.4025,19.785,23.3025,18.245,0,3.12%
101,2021-04-18,22.69,20.4025,23.6075,19.8075,0,11.21%
100,2021-04-25,23.0275,22.69,23.765,20.9675,0,1.49%
99,2021-05-02,20.8225,23.0275,24.54,20.1225,0,-9.58%
98,2021-05-09,20.2675,20.8225,21.1525,18.2275,0,-2.67%
97,2021-05-16,19.08,20.2675,20.425,17.13,0,-5.86%
96,2021-05-23,17.4025,19.08,21.3225,17.23,0,-8.79%
95,2021-05-30,15.94,17.4025,17.99,14.1475,0,-8.40%
94,2021-06-06,14.1025,15.94,15.94,11.945,0,-11.53%
93,2021-06-13,14.7975,14.1025,16.62,10.6,0,4.93%
92,2021-06-20,13.3675,14.7975,16.46,13.275,0,-9.66%
91,2021-06-27,12.09,13.3675,13.77,12.0225,0,-9.56%
90,2021-07-04,12.9425,12.09,14.0075,11.1475,0,7.05%
89,2021-07-11,11.705,12.9425,13.6075,10.485,0,-9.56%
88,2021-07-18,11.7625,11.705,14.0925,11.5675,0,0.49%
87,2021-07-25,12.8025,11.7625,15.98,10.395,0,8.84%
86,2021-08-01,12.6075,12.8025,14.0575,11.2025,0,-1.52%
85,2021-08-08,12.99,12.6075,13.3275,9.9825,0,3.03%
84,2021-08-15,14.015,12.99,14.14,11.12,0,7.89%
83,2021-08-22,13.405,14.015,14.5075,12.1125,0,-4.35%
82,2021-08-29,14.5425,13.405,15.63,12.4025,0,8.49%
81,2021-09-05,13.9425,14.5425,15.28,12.485,0,-4.13%
80,2021-09-12,15.2325,13.9425,15.65,9.025,0,9.25%
79,2021-09-19,16.9225,15.2325,17.9975,10.2275,0,11.09%
78,2021-09-26,17.21,16.9225,19.435,13.515,0,1.70%
77,2021-10-03,15.6525,17.21,17.59,14.4525,0,-9.05%
76,2021-10-10,15.7675,15.6525,16.41,12.23,0,0.73%
75,2021-10-17,17.545,15.7675,18.865,14.155,0,11.27%
74,2021-10-24,17.425,17.545,19.64,14.5075,0,-0.68%
73,2021-10-31,15.7475,17.425,18.095,14.305,0,-9.63%
72,2021-11-07,15.2175,15.7475,17.285,13.99,0,-3.37%
71,2021-11-14,14.8575,15.2175,16.1475,12.08,0,-2.37%
70,2021-11-21,20.8025,14.8575,21.3925,13.5625,0,40.01%
69,2021-11-28,18.455,20.8025,23.82,17.21,0,-11.28%
68,2021-12-05,16.06,18.455,20.4775,15.21,0,-12.98%
67,2021-12-12,16.3375,16.06,17.7125,13.76,0,1.73%
66,2021-12-19,16.1475,16.3375,20.135,15.3325,0,-1.16%
65,2021-12-26,16.2225,16.1475,17.2775,15.2075,0,0.46%
64,2022-01-02,17.6025,16.2225,18.4175,15.0875,0,8.51%
63,2022-01-09,16.555,17.6025,18.39,15.3425,0,-5.95%
62,2022-01-16,18.8875,16.555,19.605,15.94,0,14.09%
61,2022-01-23,20.695,18.8875,24.1375,18.8875,0,9.57%
60,2022-01-30,18.8975,20.695,22.11,17.4075,0,-8.69%
59,2022-02-06,18.68,18.8975,21.0825,16.8,0,-1.15%
58,2022-02-13,22.165,18.68,23.535,18.68,0,18.66%
57,2022-02-20,26.74,22.165,33.9725,20.57,0,20.64%
56,2022-02-27,27.9575,26.74,30.8425,26.74,0,4.55%
55,2022-03-06,25.345,27.9575,30.2775,22.9625,0,-9.34%
54,2022-03-13,22.61,25.345,27.5425,20.77,0,-10.79%
53,2022-03-20,23.43,22.61,25.53,20.455,0,3.63%
52,2022-03-27,18.435,23.43,24.2125,18.12,0,-21.32%
51,2022-04-03,17.6875,18.435,20.0875,16.79,0,-4.05%
50,2022-04-10,17.785,17.6875,19.145,15.085,0,0.55%
49,2022-04-17,18.3525,17.785,20.8075,13.35,0,3.19%
